  days     volume       vol_drain     vol_macro      delta_vol      del_vol_drain  del_vol_macro  rainfall       irrigation     recharge       macro_rech     total_rech     gw_withdrawal  net_recharge   runoff         pot_evap       evaporation    gw_pot_evap     balance        elevation      depth-to-water
     0  0.2500000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       1.250000      -1.250000    
     1  0.2485434      0.1251522E-02   0.000000     -0.1456597E-02  0.1251522E-02   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000      0.2000000E-02  0.2050746E-03  0.1794925E-02 -0.1279359E-16   1.250000      -1.250000    
     2  0.2471324      0.2468832E-02   0.000000     -0.1410990E-02  0.1217309E-02   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000      0.1900000E-02  0.1936811E-03  0.1706319E-02 -0.1084202E-16   1.250000      -1.250000    
     3  0.2459527      0.3655898E-02   0.000000     -0.1179717E-02  0.1187066E-02   0.000000      0.2000000E-03   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000      0.1900000E-02  0.1926511E-03  0.1707349E-02 -0.2818926E-16   1.250000      -1.250000    
     4  0.2447906      0.4816161E-02   0.000000     -0.1162074E-02  0.1160264E-02   0.000000      0.2000000E-03   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000      0.2000000E-02  0.2018103E-03  0.1798190E-02  0.1756408E-16   1.250000      -1.250000    
     5  0.2435767      0.5949742E-02   0.000000     -0.1213907E-02  0.1133581E-02   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000      0.8000000E-03  0.8032614E-04  0.7196739E-03  0.8673617E-17   1.250000      -1.250000    
     6  0.2451388      0.5835675E-02   0.000000      0.1562064E-02 -0.1140672E-03   0.000000      0.2800000E-02   0.000000      0.1251522E-02   0.000000      0.1251522E-02   0.000000      0.1251522E-02   0.000000      0.1000000E-02  0.1004805E-03  0.8995195E-03 -0.8267042E-17   1.250000      -1.250000    
     7  0.2438177      0.5758516E-02   0.000000     -0.1321106E-02 -0.7715953E-04   0.000000       0.000000       0.000000      0.1217309E-02   0.000000      0.1217309E-02   0.000000      0.1217309E-02   0.000000      0.1800000E-02  0.1809559E-03  0.1619044E-02  0.1048966E-16   1.250000      -1.250000    
     8  0.2425264      0.5682710E-02   0.000000     -0.1291232E-02 -0.7580531E-04   0.000000       0.000000       0.000000      0.1187066E-02   0.000000      0.1187066E-02   0.000000      0.1187066E-02   0.000000      0.1800000E-02  0.1799712E-03  0.1620029E-02 -0.6207057E-17   1.250000      -1.250000    
     9  0.2412343      0.5605733E-02   0.000000     -0.1292116E-02 -0.7697727E-04   0.000000       0.000000       0.000000      0.1160264E-02   0.000000      0.1160264E-02   0.000000      0.1160264E-02   0.000000      0.2100000E-02  0.2088300E-03  0.1891170E-02 -0.1466383E-16   1.250000      -1.250000    
    10  0.2400802      0.5529484E-02   0.000000     -0.1154124E-02 -0.7624864E-04   0.000000      0.2000000E-03   0.000000      0.1133581E-02   0.000000      0.1133581E-02   0.000000      0.1133581E-02   0.000000      0.3000000E-02  0.2967910E-03  0.2703209E-02  0.6125742E-17   1.250000      -1.250000    
    11  0.2388313      0.5424366E-02   0.000000     -0.1248876E-02 -0.1051181E-03   0.000000       0.000000       0.000000      0.1137455E-02   0.000000      0.1137455E-02   0.000000      0.1137455E-02   0.000000      0.2200000E-02  0.2165388E-03  0.1983461E-02  0.3686287E-17   1.250000      -1.250000    
    12  0.2376185      0.5291452E-02   0.000000     -0.1212848E-02 -0.1329143E-03   0.000000       0.000000       0.000000      0.1140150E-02   0.000000      0.1140150E-02   0.000000      0.1140150E-02   0.000000      0.2100000E-02  0.2056125E-03  0.1894387E-02  0.2439455E-17   1.250000      -1.250000    
    13  0.2405058      0.5204441E-02   0.000000      0.2887315E-02 -0.8701069E-04   0.000000      0.4000000E-02   0.000000      0.1111260E-02   0.000000      0.1111260E-02   0.000000      0.1111260E-02   0.000000      0.9000000E-03  0.8843546E-04  0.8115645E-03  0.1084202E-16   1.250000      -1.250000    
    14  0.2394359      0.5164148E-02   0.000000     -0.1069871E-02 -0.4029369E-04   0.000000      0.2000000E-03   0.000000      0.1083286E-02   0.000000      0.1083286E-02   0.000000      0.1083286E-02   0.000000      0.2300000E-02  0.2268781E-03  0.2073122E-02 -0.2265983E-16   1.250000      -1.250000    
    15  0.2429492      0.5175436E-02   0.000000      0.3513239E-02  0.1128846E-04   0.000000      0.4800000E-02   0.000000      0.1057333E-02   0.000000      0.1057333E-02   0.000000      0.1057333E-02   0.000000      0.2200000E-02  0.2181399E-03  0.1981860E-02 -0.2303930E-17   1.250000      -1.250000    
    16  0.2787390      0.5700982E-02   0.000000      0.3578979E-01  0.5255463E-03   0.000000      0.3760000E-01   0.000000      0.1032337E-02   0.000000      0.1032337E-02   0.000000      0.1032337E-02   0.000000      0.2350000E-02  0.2523220E-03  0.2097678E-02  0.4011548E-17   1.250000      -1.250000    
    17  0.2771301      0.6816375E-02   0.000000     -0.1608828E-02  0.1115393E-02   0.000000      0.8000000E-03   0.000000      0.1007235E-02   0.000000      0.1007235E-02   0.000000      0.1007235E-02   0.000000      0.2500000E-02  0.2861995E-03  0.2213800E-02 -0.4293441E-16   1.250000      -1.250000    
    18  0.2747403      0.7840952E-02   0.000000     -0.2389777E-02  0.1024576E-02   0.000000       0.000000       0.000000      0.1024250E-02   0.000000      0.1024250E-02   0.000000      0.1024250E-02   0.000000      0.3000000E-02  0.3409511E-03  0.2659049E-02 -0.4510281E-16   1.250000      -1.250000    
    19  0.2725452      0.8764818E-02   0.000000     -0.2195113E-02  0.9238664E-03   0.000000      0.2000000E-03   0.000000      0.1042993E-02   0.000000      0.1042993E-02   0.000000      0.1042993E-02   0.000000      0.3800000E-02  0.4282543E-03  0.3371746E-02  0.1604619E-16   1.250000      -1.250000    
    20  0.2705599      0.9590733E-02   0.000000     -0.1985294E-02  0.8259148E-03   0.000000      0.2000000E-03   0.000000      0.1068621E-02   0.000000      0.1068621E-02   0.000000      0.1068621E-02   0.000000      0.2600000E-02  0.2907579E-03  0.2309242E-02 -0.8673617E-18   1.250000      -1.250000    
    21  0.2685438      0.9860259E-02   0.000000     -0.2016106E-02  0.2695261E-03   0.000000       0.000000       0.000000      0.1557883E-02   0.000000      0.1557883E-02   0.000000      0.1557883E-02   0.000000      0.1700000E-02  0.1886967E-03  0.1511303E-02  0.1398621E-16   1.250000      -1.250000    
    22  0.2665395      0.9499608E-02   0.000000     -0.2004333E-02 -0.3606508E-03   0.000000       0.000000       0.000000      0.2122628E-02   0.000000      0.2122628E-02   0.000000      0.2122628E-02   0.000000      0.2200000E-02  0.2423556E-03  0.1957644E-02 -0.3317659E-16   1.250000      -1.250000    
    23  0.2645024      0.9148969E-02   0.000000     -0.2037080E-02 -0.3506392E-03   0.000000       0.000000       0.000000      0.2048826E-02   0.000000      0.2048826E-02   0.000000      0.2048826E-02   0.000000      0.3100000E-02  0.3388930E-03  0.2761107E-02  0.1452831E-16   1.250000      -1.250000    
    24  0.2626621      0.8820916E-02   0.000000     -0.1840303E-02 -0.3280534E-03   0.000000      0.2000000E-03   0.000000      0.1966859E-02   0.000000      0.1966859E-02   0.000000      0.1966859E-02   0.000000      0.3700000E-02  0.4014968E-03  0.3298503E-02 -0.1593777E-16   1.250000      -1.250000    
    25  0.2607877      0.8509927E-02   0.000000     -0.1874441E-02 -0.3109889E-03   0.000000       0.000000       0.000000      0.1894536E-02   0.000000      0.1894536E-02   0.000000      0.1894536E-02   0.000000      0.2700000E-02  0.2908938E-03  0.2409106E-02 -0.3610393E-16   1.250000      -1.250000    
    26  0.2588633      0.8211167E-02   0.000000     -0.1924351E-02 -0.2987599E-03   0.000000       0.000000       0.000000      0.1827410E-02   0.000000      0.1827410E-02   0.000000      0.1827410E-02   0.000000      0.3700000E-02  0.3957012E-03  0.3304299E-02 -0.1501620E-16   1.250000      -1.250000    
    27  0.2757025      0.8202808E-02   0.000000      0.1683918E-01 -0.8359160E-05   0.000000      0.1900000E-01   0.000000      0.1761978E-02   0.000000      0.1761978E-02   0.000000      0.1761978E-02   0.000000      0.3700000E-02  0.4071956E-03  0.3292804E-02 -0.1756408E-16   1.250000      -1.250000    
    28  0.2734836      0.8505116E-02   0.000000     -0.2218940E-02  0.3023078E-03   0.000000      0.2000000E-03   0.000000      0.1698187E-02   0.000000      0.1698187E-02   0.000000      0.1698187E-02   0.000000      0.3700000E-02  0.4184447E-03  0.3281555E-02  0.3962759E-16   1.250000      -1.250000    
    29  0.2711700      0.8787371E-02   0.000000     -0.2313592E-02  0.2822552E-03   0.000000       0.000000       0.000000      0.1638806E-02   0.000000      0.1638806E-02   0.000000      0.1638806E-02   0.000000      0.3500000E-02  0.3925311E-03  0.3107469E-02  0.4819279E-16   1.250000      -1.250000    
    30  0.2690460      0.9049690E-02   0.000000     -0.2123940E-02  0.2623191E-03   0.000000       0.000000       0.000000      0.1583547E-02   0.000000      0.1583547E-02   0.000000      0.1583547E-02   0.000000      0.2500000E-02  0.2780734E-03  0.2221927E-02  0.2162983E-16   1.250000      -1.250000    
    31  0.2670592      0.9299462E-02   0.000000     -0.1986806E-02  0.2497717E-03   0.000000      0.2000000E-03   0.000000      0.1528650E-02   0.000000      0.1528650E-02   0.000000      0.1528650E-02   0.000000      0.3700000E-02  0.4083849E-03  0.3291615E-02  0.1436568E-16   1.250000      -1.250000    
    32  0.2700825      0.9341048E-02   0.000000      0.3023261E-02  0.4158655E-04   0.000000      0.5200000E-02   0.000000      0.1753618E-02   0.000000      0.1753618E-02   0.000000      0.1753618E-02   0.000000      0.3450000E-02  0.3815342E-03  0.3068466E-02  0.8402567E-17   1.250000      -1.250000    
    33  0.2681154      0.9153046E-02   0.000000     -0.1967083E-02 -0.1880024E-03   0.000000      0.2000000E-03   0.000000      0.2000495E-02   0.000000      0.2000495E-02   0.000000      0.2000495E-02   0.000000      0.3200000E-02  0.3545909E-03  0.2845409E-02  0.3089976E-17   1.250000      -1.250000    
    34  0.2661594      0.8981043E-02   0.000000     -0.1956033E-02 -0.1720029E-03   0.000000      0.2000000E-03   0.000000      0.1921061E-02   0.000000      0.1921061E-02   0.000000      0.1921061E-02   0.000000      0.3700000E-02  0.4069754E-03  0.3293025E-02  0.1810618E-16   1.250000      -1.250000    
    35  0.2641774      0.8822433E-02   0.000000     -0.1982024E-02 -0.1586104E-03   0.000000       0.000000       0.000000      0.1845866E-02   0.000000      0.1845866E-02   0.000000      0.1845866E-02   0.000000      0.2700000E-02  0.2947684E-03  0.2405232E-02  0.1192622E-17   1.250000      -1.250000    
    36  0.2622143      0.8671190E-02   0.000000     -0.1963069E-02 -0.1512427E-03   0.000000       0.000000       0.000000      0.1778421E-02   0.000000      0.1778421E-02   0.000000      0.1778421E-02   0.000000      0.3100000E-02  0.3358900E-03  0.2764110E-02 -0.2168404E-18   1.250000      -1.250000    
    37  0.2603956      0.8447255E-02   0.000000     -0.1818666E-02 -0.2239347E-03   0.000000       0.000000       0.000000      0.1795205E-02   0.000000      0.1795205E-02   0.000000      0.1795205E-02   0.000000      0.2300000E-02  0.2473957E-03  0.2052604E-02 -0.1534146E-16   1.250000      -1.250000    
    38  0.2588168      0.8157175E-02   0.000000     -0.1578864E-02 -0.2900799E-03   0.000000      0.2000000E-03   0.000000      0.1812492E-02   0.000000      0.1812492E-02   0.000000      0.1812492E-02   0.000000      0.2400000E-02  0.2564514E-03  0.2143549E-02  0.1610040E-16   1.250000      -1.250000    
    39  0.2570127      0.7883143E-02   0.000000     -0.1804088E-02 -0.2740320E-03   0.000000       0.000000       0.000000      0.1749058E-02   0.000000      0.1749058E-02   0.000000      0.1749058E-02   0.000000      0.3100000E-02  0.3290617E-03  0.2770938E-02  0.1615461E-16   1.250000      -1.250000    
    40  0.2553526      0.7623663E-02   0.000000     -0.1660021E-02 -0.2594800E-03   0.000000      0.2000000E-03   0.000000      0.1687256E-02   0.000000      0.1687256E-02   0.000000      0.1687256E-02   0.000000      0.4100000E-02  0.4322458E-03  0.3667754E-02  0.2623769E-16   1.250000      -1.250000    
